id,day,month,year,type,species,ST,latitude,longitude
ERR2303512,3,2,2014,carriage,Klebsiella pneumoniae,ST1322,13.358427,103.856237
ERR2303513,3,2,2014,carriage,Klebsiella pneumoniae,ST896,13.358427,103.856237
ERR2303514,3,2,2014,carriage,Klebsiella pneumoniae,ST1411,13.358427,103.856237
ERR2303515,3,2,2014,carriage,Klebsiella pneumoniae,ST1074-1LV,13.358427,103.856237
ERR2303516,3,2,2014,carriage,Klebsiella pneumoniae,ST101,13.358427,103.856237
ERR2303517,3,2,2014,carriage,Klebsiella pneumoniae,ST394,13.358427,103.856237
ERR2303518,3,2,2014,carriage,Klebsiella pneumoniae,ST1411,13.358427,103.856237
ERR2303519,3,2,2014,carriage,Klebsiella pneumoniae,ST101,13.358427,103.856237
ERR2303520,3,2,2014,carriage,Klebsiella pneumoniae,ST394,13.358427,103.856237
ERR2303521,3,2,2014,environmental,Klebsiella pneumoniae,ST896,13.358427,103.856237
ERR2303522,3,2,2014,environmental,Klebsiella pneumoniae,ST45,13.358427,103.856237
ERR2303523,3,2,2014,environmental,Klebsiella pneumoniae,ST45,13.358427,103.856237
ERR2303524,3,2,2014,environmental,Klebsiella pneumoniae,ST1322,13.358427,103.856237
ERR2303525,3,2,2014,carriage,Klebsiella pneumoniae,ST394,13.358427,103.856237
ERR2303526,4,2,2014,carriage,Klebsiella pneumoniae,ST45,13.358427,103.856237
ERR2303527,4,2,2014,carriage,Klebsiella pneumoniae,ST45,13.358427,103.856237
ERR2303528,4,2,2014,carriage,Klebsiella pneumoniae,ST45,13.358427,103.856237
ERR2303529,6,2,2014,carriage,Klebsiella pneumoniae,ST45,13.358427,103.856237
ERR2303530,6,2,2014,carriage,Klebsiella pneumoniae,ST45,13.358427,103.856237
ERR2303531,6,2,2014,carriage,Klebsiella pneumoniae,ST307,13.358427,103.856237
ERR2303532,6,2,2014,carriage,Klebsiella pneumoniae,ST17,13.358427,103.856237
ERR2303533,6,2,2014,carriage,Klebsiella pneumoniae,ST307,13.358427,103.856237
ERR2303534,6,2,2014,carriage,Klebsiella pneumoniae,ST45,13.358427,103.856237
ERR2303535,6,2,2014,carriage,Klebsiella pneumoniae,ST45,13.358427,103.856237
ERR2303536,6,2,2014,carriage,Klebsiella pneumoniae,ST289-1LV,13.358427,103.856237
ERR2303537,7,2,2014,carriage,Klebsiella pneumoniae,ST45,13.358427,103.856237
ERR2303538,7,2,2014,carriage,Klebsiella pneumoniae,ST289-1LV,13.358427,103.856237
ERR2303539,9,2,2014,carriage,Klebsiella pneumoniae,ST45,13.358427,103.856237
ERR2303540,9,2,2014,carriage,Klebsiella pneumoniae,ST45,13.358427,103.856237
ERR2303541,10,2,2014,carriage,Klebsiella pneumoniae,ST45,13.358427,103.856237
ERR2303542,10,2,2014,carriage,Klebsiella pneumoniae,ST45,13.358427,103.856237
ERR2303543,10,2,2014,carriage,Klebsiella pneumoniae,ST45,13.358427,103.856237
ERR2303544,10,2,2014,carriage,Klebsiella pneumoniae,ST45,13.358427,103.856237
ERR2303545,10,2,2014,environmental,Klebsiella pneumoniae,ST469,13.358427,103.856237
ERR2303546,11,2,2014,carriage,Klebsiella pneumoniae,ST45,13.358427,103.856237
ERR2303547,17,2,2014,carriage,Klebsiella pneumoniae,ST45,13.358427,103.856237
ERR2303548,17,2,2014,carriage,Klebsiella quasipneumoniae subsp. similipneumoniae,ST1191,13.358427,103.856237
ERR2303549,17,2,2014,carriage,Klebsiella quasipneumoniae subsp. similipneumoniae,ST1822,13.358427,103.856237
ERR2303550,17,2,2014,carriage,Klebsiella quasipneumoniae subsp. similipneumoniae,ST1822,13.358427,103.856237
ERR2303551,17,2,2014,carriage,Klebsiella quasipneumoniae subsp. similipneumoniae,ST1191,13.358427,103.856237
ERR2303552,17,2,2014,carriage,Klebsiella quasipneumoniae subsp. similipneumoniae,ST1822,13.358427,103.856237
ERR2303553,17,2,2014,carriage,Klebsiella quasipneumoniae subsp. similipneumoniae,ST1822,13.358427,103.856237
ERR2303554,17,2,2014,environmental,Klebsiella quasipneumoniae subsp. similipneumoniae,ST1191,13.358427,103.856237
ERR2303555,20,2,2014,carriage,Klebsiella quasipneumoniae subsp. similipneumoniae,ST1822,13.358427,103.856237
ERR2303556,20,2,2014,carriage,Klebsiella quasipneumoniae subsp. similipneumoniae,ST480-2LV,13.358427,103.856237
ERR2303557,20,2,2014,carriage,Klebsiella quasipneumoniae subsp. similipneumoniae,ST1191,13.358427,103.856237
ERR2303558,20,2,2014,carriage,Klebsiella quasipneumoniae subsp. similipneumoniae,ST1822,13.358427,103.856237
ERR2303559,21,2,2014,carriage,Klebsiella quasipneumoniae subsp. similipneumoniae,ST1191,13.358427,103.856237
ERR2303560,21,2,2014,carriage,Klebsiella quasipneumoniae subsp. similipneumoniae,ST1822,13.358427,103.856237
ERR2303561,24,2,2014,carriage,Klebsiella quasipneumoniae subsp. similipneumoniae,ST480-2LV,13.358427,103.856237
ERR2303562,24,2,2014,carriage,Klebsiella quasipneumoniae subsp. similipneumoniae,ST334,13.358427,103.856237
ERR2303563,24,2,2014,carriage,Klebsiella quasipneumoniae subsp. similipneumoniae,ST477,13.358427,103.856237
ERR2303564,24,2,2014,carriage,Klebsiella quasipneumoniae subsp. similipneumoniae,ST334,13.358427,103.856237
ERR2303565,24,2,2014,carriage,Klebsiella quasipneumoniae subsp. similipneumoniae,ST334,13.358427,103.856237
ERR2303566,24,2,2014,carriage,Klebsiella quasipneumoniae subsp. similipneumoniae,ST1031,13.358427,103.856237
ERR2303567,24,2,2014,carriage,Klebsiella quasipneumoniae subsp. similipneumoniae,ST1031,13.358427,103.856237
ERR2303568,24,2,2014,environmental,Klebsiella quasipneumoniae subsp. similipneumoniae,ST334,13.358427,103.856237
ERR2303569,24,2,2014,environmental,Klebsiella quasipneumoniae subsp. similipneumoniae,ST1031,13.358427,103.856237
ERR2303570,25,2,2014,carriage,Klebsiella quasipneumoniae subsp. similipneumoniae,ST334,13.358427,103.856237
ERR2303571,25,2,2014,carriage,Klebsiella quasipneumoniae subsp. similipneumoniae,ST334,13.358427,103.856237
ERR2303572,27,2,2014,carriage,Klebsiella quasipneumoniae subsp. similipneumoniae,ST334,13.358427,103.856237
ERR2303573,27,2,2014,carriage,Klebsiella quasipneumoniae subsp. similipneumoniae,ST334,13.358427,103.856237
ERR2303574,27,2,2014,carriage,Klebsiella quasipneumoniae subsp. similipneumoniae,ST334,13.358427,103.856237
ERR2303575,27,2,2014,carriage,Klebsiella quasipneumoniae subsp. similipneumoniae,ST334,13.358427,103.856237
ERR2303576,27,2,2014,carriage,Klebsiella quasipneumoniae subsp. similipneumoniae,ST334,13.358427,103.856237
ERR2303577,28,2,2014,carriage,Klebsiella quasipneumoniae subsp. similipneumoniae,ST334,13.358427,103.856237
ERR2303578,3,3,2014,environmental,Klebsiella quasipneumoniae subsp. similipneumoniae,ST1308,13.358427,103.856237
ERR2303579,3,3,2014,environmental,Klebsiella quasipneumoniae subsp. similipneumoniae,ST334,13.358427,103.856237
ERR2303580,3,3,2014,environmental,Klebsiella quasipneumoniae subsp. similipneumoniae,ST334,13.358427,103.856237
ERR2303581,3,3,2014,environmental,Klebsiella quasipneumoniae subsp. similipneumoniae,ST334,13.358427,103.856237
ERR2303582,3,3,2014,carriage,Klebsiella quasipneumoniae subsp. similipneumoniae,ST334,13.358427,103.856237
ERR2303583,3,3,2014,carriage,Klebsiella quasipneumoniae subsp. similipneumoniae,ST334,13.358427,103.856237
ERR2303584,3,3,2014,carriage,Klebsiella quasipneumoniae subsp. similipneumoniae,ST334,13.358427,103.856237
ERR2303585,3,3,2014,carriage,Klebsiella quasipneumoniae subsp. similipneumoniae,ST334,13.358427,103.856237
