Isolate,Species,Phylo-group,ST,Country,Site,Isolation year,Accession Number
SB5624,Klebsiella pneumoniae,Kp1,661,Cambodia,Rural,2016,ERS3557085
SB5625,Klebsiella pneumoniae,Kp1,2643,Cambodia,Urban,2016,ERS3557086
SB5627,Klebsiella pneumoniae,Kp1,2683,Cambodia,Urban,2016,ERS3557087
SB5629,Klebsiella pneumoniae,Kp1,111,Cambodia,Rural,2016,ERS3557088
SB5632,Klebsiella pneumoniae,Kp1,15,Cambodia,Rural,2016,ERS3557091
SB5634,Klebsiella pneumoniae,Kp1,1035,Cambodia,Urban,2016,ERS3556883
SB5635,Klebsiella pneumoniae,Kp1,133,Cambodia,Rural,2016,ERS3557093
SB5637,Klebsiella pneumoniae,Kp1,2648,Cambodia,Urban,2016,ERS3557095
SB5639,Klebsiella pneumoniae,Kp1,883,Cambodia,Urban,2016,ERS3557096
SB5640,Klebsiella pneumoniae,Kp1,661,Cambodia,Urban,2016,ERS3557097
SB5643,Klebsiella pneumoniae,Kp1,37,Cambodia,Urban,2016,ERS3556780
SB5646,Klebsiella pneumoniae,Kp1,1574,Cambodia,Urban,2016,ERS3557102
SB5647,Klebsiella pneumoniae,Kp1,2651,Cambodia,Urban,2016,ERS3556894
SB5649,Klebsiella pneumoniae,Kp1,2652,Cambodia,Rural,2016,ERS3557103
SB5651,Klebsiella pneumoniae,Kp1,2654,Cambodia,Urban,2016,ERS3556914
SB5652,Klebsiella pneumoniae,Kp1,307,Cambodia,Urban,2016,ERS3556931
SB5653,Klebsiella pneumoniae,Kp1,307,Cambodia,Urban,2016,ERS3556932
SB5654,Klebsiella pneumoniae,Kp1,2655,Cambodia,Rural,2016,ERS3556822
SB5655,Klebsiella pneumoniae,Kp1,1145,Cambodia,Rural,2016,ERS3557105
SB5657,Klebsiella pneumoniae,Kp1,17,Cambodia,Urban,2016,ERS3557106
SB5658,Klebsiella pneumoniae,Kp1,35,Cambodia,Rural,2016,ERS3557107
SB5659,Klebsiella pneumoniae,Kp1,76,Cambodia,Rural,2016,ERS3557108
SB5660,Klebsiella pneumoniae,Kp1,17,Cambodia,Rural,2016,ERS3557109
SB5662,Klebsiella pneumoniae,Kp1,394,Cambodia,Urban,2016,ERS3556919
SB5663,Klebsiella pneumoniae,Kp1,17,Cambodia,Urban,2016,ERS3556903
SB5664,Klebsiella pneumoniae,Kp1,105,Cambodia,Urban,2016,ERS3556781
SB5666,Klebsiella pneumoniae,Kp1,200,Cambodia,Rural,2016,ERS3557112
SB5668,Klebsiella pneumoniae,Kp1,2706,Cambodia,Rural,2016,ERS3557113
SB5672,Klebsiella pneumoniae,Kp1,2709,Cambodia,Rural,2016,ERS3556943
SB5673,Klebsiella pneumoniae,Kp1,2710,Cambodia,Rural,2016,ERS3557117
SB5675,Klebsiella pneumoniae,Kp1,1782,Cambodia,Rural,2016,ERS3556915
SB5676,Klebsiella pneumoniae,Kp1,2711,Cambodia,Rural,2016,ERS3556868
SB5680,Klebsiella pneumoniae,Kp1,2713,Cambodia,Rural,2016,ERS3556917
SB5681,Klebsiella pneumoniae,Kp1,1662,Cambodia,Rural,2016,ERS3557121
SB5682,Klebsiella pneumoniae,Kp1,35,Cambodia,Rural,2016,ERS3557122
SB5683,Klebsiella pneumoniae,Kp1,35,Cambodia,Rural,2016,ERS3557123
SB5684,Klebsiella pneumoniae,Kp1,35,Cambodia,Rural,2016,ERS3557124
SB5686,Klebsiella pneumoniae,Kp1,2690,Cambodia,Urban,2016,ERS3556846
SB5687,Klebsiella pneumoniae,Kp1,2691,Cambodia,Rural,2016,ERS3557126
SB5688,Klebsiella pneumoniae,Kp1,1662,Cambodia,Rural,2016,ERS3557127
SB5690,Klebsiella pneumoniae,Kp1,ND,Cambodia,Rural,2016,ERS3557128
SB5692,Klebsiella pneumoniae,Kp1,35,Cambodia,Urban,2016,ERS3557130
SB5693,Klebsiella pneumoniae,Kp1,35,Cambodia,Urban,2016,ERS3557131
SB5694,Klebsiella pneumoniae,Kp1,2692,Cambodia,Rural,2016,ERS3556803
SB5695,Klebsiella pneumoniae,Kp1,34,Cambodia,Urban,2016,ERS3556900
SB5696,Klebsiella pneumoniae,Kp1,2693,Cambodia,Urban,2016,ERS3557132
SB5698,Klebsiella pneumoniae,Kp1,2504,Cambodia,Urban,2016,ERS3556895
SB5699,Klebsiella pneumoniae,Kp1,111,Cambodia,Rural,2016,ERS3557134
SB5701,Klebsiella pneumoniae,Kp1,2694,Cambodia,Rural,2016,ERS3556847
SB5702,Klebsiella pneumoniae,Kp1,35,Cambodia,Rural,2016,ERS3556908
SB5703,Klebsiella pneumoniae,Kp1,35,Cambodia,Urban,2016,ERS3556909
SB5705,Klebsiella pneumoniae,Kp1,17,Cambodia,Urban,2016,ERS3556918
SB5706,Klebsiella pneumoniae,Kp1,2695,Cambodia,Rural,2016,ERS3557136
SB5707,Klebsiella pneumoniae,Kp1,307,Cambodia,Urban,2016,ERS3556933
SB5708,Klebsiella pneumoniae,Kp1,307,Cambodia,Rural,2016,ERS3556934
SB5712,Klebsiella pneumoniae,Kp1,111,Cambodia,Rural,2016,ERS3557140
SB5713,Klebsiella pneumoniae,Kp1,48,Cambodia,Urban,2016,ERS3556935
SB5714,Klebsiella pneumoniae,Kp1,1315,Cambodia,Urban,2016,ERS3556920
SB5715,Klebsiella pneumoniae,Kp1,76,Cambodia,Urban,2016,ERS3556782
SB5716,Klebsiella pneumoniae,Kp1,469,Cambodia,Urban,2016,ERS3556901
SB5720,Klebsiella pneumoniae,Kp1,36,Cambodia,Urban,2016,ERS3557142
SB5721,Klebsiella pneumoniae,Kp1,774,Cambodia,Rural,2016,ERS3557143
SB5722,Klebsiella pneumoniae,Kp1,2701,Cambodia,Urban,2016,ERS3557144
SB5723,Klebsiella pneumoniae,Kp1,631,Cambodia,Urban,2016,ERS3556916
SB5724,Klebsiella pneumoniae,Kp1,2702,Cambodia,Urban,2016,ERS3556869
SB5725,Klebsiella pneumoniae,Kp1,2703,Cambodia,Rural,2016,ERS3557145
SB5670,Klebsiella variicola subsp. variicola,Kp3,2645,Cambodia,Rural,2016,ERS3557115
SB5678,Klebsiella variicola subsp. variicola,Kp3,2645,Cambodia,Rural,2016,ERS3557120
SB5691,Klebsiella variicola subsp. variicola,Kp3,2645,Cambodia,Rural,2016,ERS3557129
SB5697,Klebsiella variicola subsp. variicola,Kp3,2645,Cambodia,Urban,2016,ERS3557133
SB5626,similipneumoniae,Kp4,2644,Cambodia,Urban,2016,ERS3556929
SB5630,similipneumoniae,Kp4,1770,Cambodia,Urban,2016,ERS3557089
SB5631,similipneumoniae,Kp4,2684,Cambodia,Rural,2016,ERS3557090
SB5633,similipneumoniae,Kp4,2685,Cambodia,Urban,2016,ERS3557092
SB5636,similipneumoniae,Kp4,2686,Cambodia,Urban,2016,ERS3557094
SB5638,similipneumoniae,Kp4,1584,Cambodia,Rural,2016,ERS3556799
SB5641,similipneumoniae,Kp4,2689,Cambodia,Rural,2016,ERS3557098
SB5642,similipneumoniae,Kp4,2689,Cambodia,Rural,2016,ERS3557099
SB5644,similipneumoniae,Kp4,2649,Cambodia,Rural,2016,ERS3557100
SB5645,similipneumoniae,Kp4,2650,Cambodia,Rural,2016,ERS3557101
SB5648,similipneumoniae,Kp4,1308,Cambodia,Rural,2016,ERS3556867
SB5650,similipneumoniae,Kp4,2653,Cambodia,Rural,2016,ERS3557104
SB5656,similipneumoniae,Kp4,2489,Cambodia,Rural,2016,ERS3556942
SB5661,similipneumoniae,Kp4,2704,Cambodia,Rural,2016,ERS3557110
SB5665,similipneumoniae,Kp4,2705,Cambodia,Urban,2016,ERS3557111
SB5669,similipneumoniae,Kp4,2707,Cambodia,Rural,2016,ERS3557114
SB5671,similipneumoniae,Kp4,2708,Cambodia,Rural,2016,ERS3557116
SB5674,similipneumoniae,Kp4,2653,Cambodia,Rural,2016,ERS3557118
SB5677,similipneumoniae,Kp4,2687,Cambodia,Rural,2016,ERS3557119
SB5679,similipneumoniae,Kp4,2688,Cambodia,Rural,2016,ERS3556944
SB5685,similipneumoniae,Kp4,2696,Cambodia,Urban,2016,ERS3557125
SB5700,similipneumoniae,Kp4,1584,Cambodia,Rural,2016,ERS3557135
SB5709,similipneumoniae,Kp4,2697,Cambodia,Rural,2016,ERS3557137
SB5710,similipneumoniae,Kp4,2698,Cambodia,Rural,2016,ERS3557138
SB5711,similipneumoniae,Kp4,2699,Cambodia,Rural,2016,ERS3557139
SB5718,similipneumoniae,Kp4,1697,Cambodia,Rural,2016,ERS3556848
SB5719,similipneumoniae,Kp4,2700,Cambodia,Rural,2016,ERS3557141
SB5372,Klebsiella pneumoniae,Kp1,8,Madagascar,Urban,2015,ERS3556948
SB5376,Klebsiella pneumoniae,Kp1,1621,Madagascar,Urban,2015,ERS3556951
SB5378,Klebsiella pneumoniae,Kp1,1621,Madagascar,Urban,2015,ERS3556953
SB5380,Klebsiella pneumoniae,Kp1,70,Madagascar,Urban,2015,ERS3556954
SB5382,Klebsiella pneumoniae,Kp1,1621,Madagascar,Urban,2015,ERS3556956
SB5383,Klebsiella pneumoniae,Kp1,491,Madagascar,Urban,2015,ERS3556957
SB5384,Klebsiella pneumoniae,Kp1,1429,Madagascar,Urban,2015,ERS3556958
SB5385,Klebsiella pneumoniae,Kp1,1873,Madagascar,Urban,2015,ERS3556959
SB5389,Klebsiella pneumoniae,Kp1,873,Madagascar,Urban,2015,ERS3556961
SB5390,Klebsiella pneumoniae,Kp1,111,Madagascar,Urban,2015,ERS3556886
SB5391,Klebsiella pneumoniae,Kp1,1,Madagascar,Urban,2015,ERS3556887
SB5392,Klebsiella pneumoniae,Kp1,2467,Madagascar,Urban,2015,ERS3556962
SB5393,Klebsiella pneumoniae,Kp1,873,Madagascar,Urban,2015,ERS3556963
SB5395,Klebsiella pneumoniae,Kp1,2177,Madagascar,Urban,2015,ERS3556964
SB5397,Klebsiella pneumoniae,Kp1,337,Madagascar,Urban,2015,ERS3556793
SB5398,Klebsiella pneumoniae,Kp1,37,Madagascar,Urban,2015,ERS3556830
SB5399,Klebsiella pneumoniae,Kp1,629,Madagascar,Urban,ND,ERS3556853
SB5401,Klebsiella pneumoniae,Kp1,2467,Madagascar,Urban,2015,ERS3556967
SB5403,Klebsiella pneumoniae,Kp1,2471,Madagascar,Urban,2016,ERS3556815
SB5404,Klebsiella pneumoniae,Kp1,45,Madagascar,Urban,2016,ERS3556969
SB5406,Klebsiella pneumoniae,Kp1,2473,Madagascar,Urban,2016,ERS3556970
SB5407,Klebsiella pneumoniae,Kp1,1429,Madagascar,Urban,2016,ERS3556971
SB5408,Klebsiella pneumoniae,Kp1,2474,Madagascar,Urban,2016,ERS3556972
SB5411,Klebsiella pneumoniae,Kp1,37,Madagascar,Urban,2016,ERS3556832
SB5412,Klebsiella pneumoniae,Kp1,37,Madagascar,Urban,2016,ERS3556854
SB5415,Klebsiella pneumoniae,Kp1,441,Madagascar,Urban,2016,ERS3556977
SB5417,Klebsiella pneumoniae,Kp1,2480,Madagascar,Urban,2016,ERS3556833
SB5418,Klebsiella pneumoniae,Kp1,2481,Madagascar,Urban,2016,ERS3556834
SB5419,Klebsiella pneumoniae,Kp1,3331,Madagascar,Urban,2016,ERS3556876
SB5421,Klebsiella pneumoniae,Kp1,17,Madagascar,Urban,2016,ERS3556910
SB5422,Klebsiella pneumoniae,Kp1,964,Madagascar,Urban,2016,ERS3556816
SB5423,Klebsiella pneumoniae,Kp1,3100,Madagascar,Urban,2016,ERS3556855
SB5424,Klebsiella pneumoniae,Kp1,2482,Madagascar,Urban,2016,ERS3556980
SB5425,Klebsiella pneumoniae,Kp1,2482,Madagascar,Urban,2016,ERS3556981
SB5426,Klebsiella pneumoniae,Kp1,25,Madagascar,Urban,2016,ERS3556982
SB5427,Klebsiella pneumoniae,Kp1,1787,Madagascar,Urban,2016,ERS3556923
SB5429,Klebsiella pneumoniae,Kp1,48,Madagascar,Urban,2016,ERS3556930
SB5432,Klebsiella pneumoniae,Kp1,1661,Madagascar,Urban,2016,ERS3556986
SB5434,Klebsiella pneumoniae,Kp1,2484,Madagascar,Urban,2016,ERS3556817
SB5435,Klebsiella pneumoniae,Kp1,872,Madagascar,Urban,ND,ERS3556776
SB5436,Klebsiella pneumoniae,Kp1,2485,Madagascar,Urban,2016,ERS3556987
SB5438,Klebsiella pneumoniae,Kp1,37,Madagascar,Urban,2016,ERS3556989
SB5440,Klebsiella pneumoniae,Kp1,25,Madagascar,Urban,2016,ERS3556990
SB5441,Klebsiella pneumoniae,Kp1,1537,Madagascar,Urban,2016,ERS3556991
SB5442,Klebsiella pneumoniae,Kp1,101,Madagascar,Urban,2016,ERS3556836
SB5443,Klebsiella pneumoniae,Kp1,2487,Madagascar,Urban,2016,ERS3556777
SB5446,Klebsiella pneumoniae,Kp1,770,Madagascar,Urban,2016,ERS3556994
SB5447,Klebsiella pneumoniae,Kp1,2938,Madagascar,Rural,2015,ERS3556995
SB5450,Klebsiella pneumoniae,Kp1,1429,Madagascar,Rural,2015,ERS3556997
SB5451,Klebsiella pneumoniae,Kp1,36,Madagascar,Rural,2015,ERS3556998
SB5452,Klebsiella pneumoniae,Kp1,1429,Madagascar,Rural,2015,ERS3556999
SB5453,Klebsiella pneumoniae,Kp1,1429,Madagascar,Rural,2015,ERS3557000
SB5456,Klebsiella pneumoniae,Kp1,36,Madagascar,Rural,ND,ERS3556837
SB5460,Klebsiella pneumoniae,Kp1,37,Madagascar,Rural,2015,ERS3557003
SB5461,Klebsiella pneumoniae,Kp1,20,Madagascar,Rural,2015,ERS3557004
SB5462,Klebsiella pneumoniae,Kp1,45,Madagascar,Rural,2015,ERS3557005
SB5463,Klebsiella pneumoniae,Kp1,491,Madagascar,Rural,2015,ERS3557006
SB5464,Klebsiella pneumoniae,Kp1,1303,Madagascar,Rural,2015,ERS3556936
SB5466,Klebsiella pneumoniae,Kp1,2632,Madagascar,Rural,2015,ERS3557007
SB5467,Klebsiella pneumoniae,Kp1,2715,Madagascar,Rural,2015,ERS3556800
SB5468,Klebsiella pneumoniae,Kp1,2177,Madagascar,Rural,2015,ERS3557008
SB5470,Klebsiella pneumoniae,Kp1,1978,Madagascar,Rural,2015,ERS3556888
SB5471,Klebsiella pneumoniae,Kp1,36,Madagascar,Rural,2015,ERS3557009
SB5472,Klebsiella pneumoniae,Kp1,1198,Madagascar,Rural,2015,ERS3556838
SB5473,Klebsiella pneumoniae,Kp1,2473,Madagascar,Rural,2015,ERS3557010
SB5478,Klebsiella pneumoniae,Kp1,2504,Madagascar,Rural,2015,ERS3557011
SB5479,Klebsiella pneumoniae,Kp1,22,Madagascar,Rural,2015,ERS3556839
SB5480,Klebsiella pneumoniae,Kp1,337,Madagascar,Rural,2015,ERS3556937
SB5481,Klebsiella pneumoniae,Kp1,2505,Madagascar,Rural,2015,ERS3556788
SB5482,Klebsiella pneumoniae,Kp1,2506,Madagascar,Rural,2015,ERS3556889
SB5483,Klebsiella pneumoniae,Kp1,399,Madagascar,Rural,2015,ERS3556840
SB5486,Klebsiella pneumoniae,Kp1,1966,Madagascar,Rural,2016,ERS3557013
SB5489,Klebsiella pneumoniae,Kp1,1429,Madagascar,Rural,2016,ERS3557016
SB5491,Klebsiella pneumoniae,Kp1,491,Madagascar,Rural,2016,ERS3557017
SB5492,Klebsiella pneumoniae,Kp1,491,Madagascar,Rural,2016,ERS3557018
SB5494,Klebsiella pneumoniae,Kp1,831,Madagascar,Rural,2016,ERS3556856
SB5497,Klebsiella pneumoniae,Kp1,432,Madagascar,Rural,2016,ERS3557022
SB5498,Klebsiella pneumoniae,Kp1,2552,Madagascar,Rural,2016,ERS3557023
SB5499,Klebsiella pneumoniae,Kp1,22,Madagascar,Rural,2016,ERS3556849
SB5500,Klebsiella pneumoniae,Kp1,873,Madagascar,Rural,2016,ERS3557024
SB5501,Klebsiella pneumoniae,Kp1,45,Madagascar,Urban,2016,ERS3557146
SB5502,Klebsiella pneumoniae,Kp1,8,Madagascar,Rural,2016,ERS3557025
SB5506,Klebsiella pneumoniae,Kp1,2554,Madagascar,Rural,2016,ERS3557027
SB5507,Klebsiella pneumoniae,Kp1,2555,Madagascar,Rural,ND,ERS3557028
SB5508,Klebsiella pneumoniae,Kp1,2938,Madagascar,Rural,2016,ERS3557029
SB5509,Klebsiella pneumoniae,Kp1,337,Madagascar,Rural,2016,ERS3556938
SB5510,Klebsiella pneumoniae,Kp1,1429,Madagascar,Rural,2016,ERS3557030
SB5511,Klebsiella pneumoniae,Kp1,1429,Madagascar,Rural,2016,ERS3557031
SB5512,Klebsiella pneumoniae,Kp1,2408,Madagascar,Rural,2016,ERS3557032
SB5513,Klebsiella pneumoniae,Kp1,17,Madagascar,Rural,2016,ERS3556858
SB5514,Klebsiella pneumoniae,Kp1,1087,Madagascar,Rural,2016,ERS3557033
SB5515,Klebsiella pneumoniae,Kp1,1296,Madagascar,Rural,2016,ERS3556852
SB5516,Klebsiella pneumoniae,Kp1,337,Madagascar,Rural,ND,ERS3556841
SB5518,Klebsiella pneumoniae,Kp1,500,Madagascar,Rural,2016,ERS3556802
SB5521,Klebsiella pneumoniae,Kp1,307,Madagascar,Rural,2016,ERS3556842
SB5522,Klebsiella pneumoniae,Kp1,2556,Madagascar,Rural,2016,ERS3557035
SB5523,Klebsiella pneumoniae,Kp1,2557,Madagascar,Rural,2016,ERS3557036
SB5524,Klebsiella pneumoniae,Kp1,491,Madagascar,Rural,2016,ERS3557037
SB5525,Klebsiella pneumoniae,Kp1,65,Madagascar,Rural,2016,ERS3556939
SB5526,Klebsiella pneumoniae,Kp1,43,Madagascar,Rural,2016,ERS3557038
SB5529,Klebsiella pneumoniae,Kp1,1263,Madagascar,Rural,2016,ERS3556878
SB5530,Klebsiella pneumoniae,Kp1,2560,Madagascar,Rural,2016,ERS3556899
SB5532,Klebsiella pneumoniae,Kp1,37,Madagascar,Rural,2016,ERS3557039
SB5534,Klebsiella pneumoniae,Kp1,36,Madagascar,Rural,2016,ERS3557040
SB5535,Klebsiella pneumoniae,Kp1,215,Madagascar,Rural,2016,ERS3556794
SB5538,Klebsiella pneumoniae,Kp1,441,Madagascar,Rural,2016,ERS3557042
SB5540,Klebsiella pneumoniae,Kp1,337,Madagascar,Rural,2016,ERS3556795
SB5546,Klebsiella pneumoniae,Kp1,29,Madagascar,Rural,2016,ERS3556924
SB5547,Klebsiella pneumoniae,Kp1,12,Madagascar,Rural,2016,ERS3557046
SB5548,Klebsiella pneumoniae,Kp1,1213,Madagascar,Rural,2016,ERS3557047
SB5549,Klebsiella pneumoniae,Kp1,2570,Madagascar,Rural,2016,ERS3557048
SB5550,Klebsiella pneumoniae,Kp1,14,Madagascar,Rural,2016,ERS3557049
SB5551,Klebsiella pneumoniae,Kp1,36,Madagascar,Rural,2016,ERS3557050
SB5555,Klebsiella pneumoniae,Kp1,872,Madagascar,Rural,2016,ERS3556818
SB5557,Klebsiella pneumoniae,Kp1,76,Madagascar,Rural,2016,ERS3557053
SB5558,Klebsiella pneumoniae,Kp1,17,Madagascar,Rural,2016,ERS3556911
SB5559,Klebsiella pneumoniae,Kp1,1787,Madagascar,Rural,2016,ERS3556925
SB5560,Klebsiella pneumoniae,Kp1,101,Madagascar,Rural,2016,ERS3556890
SB5562,Klebsiella pneumoniae,Kp1,1787,Madagascar,Rural,2016,ERS3556926
SB5563,Klebsiella pneumoniae,Kp1,1787,Madagascar,Rural,2016,ERS3556927
SB5564,Klebsiella pneumoniae,Kp1,1447,Madagascar,Rural,2016,ERS3556819
SB5565,Klebsiella pneumoniae,Kp1,337,Madagascar,Rural,2016,ERS3556820
SB5568,Klebsiella pneumoniae,Kp1,186,Madagascar,Rural,2016,ERS3557056
SB5569,Klebsiella pneumoniae,Kp1,337,Madagascar,Rural,2016,ERS3556796
SB5571,Klebsiella pneumoniae,Kp1,60,Madagascar,Rural,2016,ERS3557057
SB5572,Klebsiella pneumoniae,Kp1,234,Madagascar,Rural,2016,ERS3556891
SB5573,Klebsiella pneumoniae,Kp1,2473,Madagascar,Rural,2016,ERS3557058
SB5574,Klebsiella pneumoniae,Kp1,1429,Madagascar,Rural,2016,ERS3557059
SB5575,Klebsiella pneumoniae,Kp1,2718,Madagascar,Rural,2016,ERS3557060
SB5576,Klebsiella pneumoniae,Kp1,2053,Madagascar,Rural,2016,ERS3556941
SB5578,Klebsiella pneumoniae,Kp1,375,Madagascar,Rural,2016,ERS3557061
SB5579,Klebsiella pneumoniae,Kp1,375,Madagascar,Rural,2016,ERS3557062
SB5580,Klebsiella pneumoniae,Kp1,375,Madagascar,Rural,2016,ERS3557063
SB5581,Klebsiella pneumoniae,Kp1,48,Madagascar,Rural,2016,ERS3556907
SB5583,Klebsiella pneumoniae,Kp1,22,Madagascar,Rural,2016,ERS3557064
SB5584,Klebsiella pneumoniae,Kp1,2484,Madagascar,Rural,2016,ERS3557065
SB5585,Klebsiella pneumoniae,Kp1,39,Madagascar,Rural,2016,ERS3556892
SB5588,Klebsiella pneumoniae,Kp1,2596,Madagascar,Rural,2016,ERS3557067
SB5589,Klebsiella pneumoniae,Kp1,904,Madagascar,Rural,2016,ERS3556862
SB5590,Klebsiella pneumoniae,Kp1,2612,Madagascar,Rural,2016,ERS3556779
SB5592,Klebsiella pneumoniae,Kp1,904,Madagascar,Rural,ND,ERS3556864
SB5593,Klebsiella pneumoniae,Kp1,2505,Madagascar,Rural,2016,ERS3556789
SB5594,Klebsiella pneumoniae,Kp1,449,Madagascar,Rural,2016,ERS3556912
SB5595,Klebsiella pneumoniae,Kp1,449,Madagascar,Rural,2016,ERS3556913
SB5596,Klebsiella pneumoniae,Kp1,394,Madagascar,Rural,2016,ERS3556865
SB5597,Klebsiella pneumoniae,Kp1,39,Madagascar,Rural,2016,ERS3556928
SB5599,Klebsiella pneumoniae,Kp1,831,Madagascar,Rural,2016,ERS3556893
SB5601,Klebsiella pneumoniae,Kp1,394,Madagascar,Rural,2016,ERS3556866
SB5602,Klebsiella pneumoniae,Kp1,2595,Madagascar,Rural,2016,ERS3557070
SB5603,Klebsiella pneumoniae,Kp1,337,Madagascar,Rural,2016,ERS3557071
SB5604,Klebsiella pneumoniae,Kp1,2596,Madagascar,Rural,2016,ERS3557072
SB5605,Klebsiella pneumoniae,Kp1,2597,Madagascar,Rural,2016,ERS3557073
SB5606,Klebsiella pneumoniae,Kp1,2598,Madagascar,Rural,2016,ERS3557074
SB5608,Klebsiella pneumoniae,Kp1,2599,Madagascar,Rural,2016,ERS3556880
SB5609,Klebsiella pneumoniae,Kp1,60,Madagascar,Rural,2016,ERS3557076
SB5611,Klebsiella pneumoniae,Kp1,2599,Madagascar,Rural,2016,ERS3556881
SB5612,Klebsiella pneumoniae,Kp1,2599,Madagascar,Rural,2016,ERS3556882
SB5613,Klebsiella pneumoniae,Kp1,380,Madagascar,Rural,2016,ERS3557077
SB5614,Klebsiella pneumoniae,Kp1,37,Madagascar,Rural,2016,ERS3557078
SB5616,Klebsiella pneumoniae,Kp1,2459,Madagascar,Rural,2016,ERS3557080
SB5618,Klebsiella pneumoniae,Kp1,39,Madagascar,Rural,2016,ERS3556797
SB5619,Klebsiella pneumoniae,Kp1,2601,Madagascar,Rural,2016,ERS3557082
SB5620,Klebsiella pneumoniae,Kp1,37,Madagascar,Rural,2016,ERS3556790
SB5622,Klebsiella pneumoniae,Kp1,2602,Madagascar,Rural,2016,ERS3557083
SB5623,Klebsiella pneumoniae,Kp1,1609,Madagascar,Rural,2016,ERS3557084
SB5952,Klebsiella pneumoniae,Kp1,2442,Madagascar,Urban,2016,ERS3557149
SB5953,Klebsiella pneumoniae,Kp1,337,Madagascar,Urban,2016,ERS3557150
SB5954,Klebsiella pneumoniae,Kp1,441,Madagascar,Urban,2016,ERS3557151
SB5955,Klebsiella pneumoniae,Kp1,1689,Madagascar,Urban,2016,ERS3556823
SB5956,Klebsiella pneumoniae,Kp1,76,Madagascar,Urban,2016,ERS3557152
SB5958,Klebsiella pneumoniae,Kp1,3102,Madagascar,Urban,2016,ERS3556806
SB5959,Klebsiella pneumoniae,Kp1,3102,Madagascar,Rural,2016,ERS3556807
SB5961,Klebsiella pneumoniae,Kp1,48,Madagascar,Rural,2016,ERS3556921
SB5962,Klebsiella pneumoniae,Kp1,48,Madagascar,Rural,2016,ERS3556922
SB5963,Klebsiella pneumoniae,Kp1,380,Madagascar,Rural,2016,ERS3556824
SB5964,Klebsiella pneumoniae,Kp1,22,Madagascar,Rural,2016,ERS3556808
