study_accession	field	n_records	structured_nonnull_frac	verdict
PRJDB10333	country	148	0.0	needs_paper
PRJDB10333	collection_date	148	0.0	needs_paper
PRJDB10333	isolation_source	148	0.0	needs_paper
PRJDB10333	host	148	1.0	answered_by_data
PRJDB10333	cf_status	148	0.0	needs_paper
PRJDB10333	smoking_status	148	0.0	needs_paper
PRJDB10333	ast	148	0.0	needs_paper
PRJDB10566	country	217	1.0	answered_by_data
PRJDB10566	collection_date	217	0.0	needs_paper
PRJDB10566	isolation_source	217	0.0	needs_paper
PRJDB10566	host	217	1.0	answered_by_data
PRJDB10566	cf_status	217	0.0	needs_paper
PRJDB10566	smoking_status	217	0.0	needs_paper
PRJDB10566	ast	217	0.0	needs_paper
PRJDB12235	country	25	1.0	answered_by_data
PRJDB12235	collection_date	25	0.0	needs_paper
PRJDB12235	isolation_source	25	0.0	needs_paper
PRJDB12235	host	25	1.0	answered_by_data
PRJDB12235	cf_status	25	0.0	needs_paper
PRJDB12235	smoking_status	25	0.0	needs_paper
PRJDB12235	ast	25	0.0	needs_paper
PRJDB13427	country	51	1.0	answered_by_data
PRJDB13427	collection_date	51	0.0	needs_paper
PRJDB13427	isolation_source	51	0.0	needs_paper
PRJDB13427	host	51	1.0	answered_by_data
PRJDB13427	cf_status	51	0.0	needs_paper
PRJDB13427	smoking_status	51	0.0	needs_paper
PRJDB13427	ast	51	0.0	needs_paper
PRJDB14511	country	1	1.0	answered_by_data
PRJDB14511	collection_date	1	1.0	answered_by_data
PRJDB14511	isolation_source	1	0.0	needs_paper
PRJDB14511	host	1	0.0	needs_paper
PRJDB14511	cf_status	1	0.0	needs_paper
PRJDB14511	smoking_status	1	0.0	needs_paper
PRJDB14511	ast	1	0.0	needs_paper
PRJDB15290	country	33	1.0	answered_by_data
PRJDB15290	collection_date	33	1.0	answered_by_data
PRJDB15290	isolation_source	33	0.0	needs_paper
PRJDB15290	host	33	1.0	answered_by_data
PRJDB15290	cf_status	33	0.0	needs_paper
PRJDB15290	smoking_status	33	0.0	needs_paper
PRJDB15290	ast	33	0.0	needs_paper
PRJDB17850	country	48	0.0	needs_paper
PRJDB17850	collection_date	48	0.0	needs_paper
PRJDB17850	isolation_source	48	0.0	needs_paper
PRJDB17850	host	48	0.0	needs_paper
PRJDB17850	cf_status	48	0.0	needs_paper
PRJDB17850	smoking_status	48	0.0	needs_paper
PRJDB17850	ast	48	0.0	needs_paper
PRJDB2099	country	1	0.0	needs_paper
PRJDB2099	collection_date	1	0.0	needs_paper
PRJDB2099	isolation_source	1	0.0	needs_paper
PRJDB2099	host	1	0.0	needs_paper
PRJDB2099	cf_status	1	0.0	needs_paper
