study_accession	sample_accession	field	ena_value	applied_value	method	evidence
PRJDB12116	SAMD00397268	isolation_source		Midstream urine	per_sample	mgen-10-01295-s002.xlsx:SAMD00397268
PRJDB12116	SAMD00397269	isolation_source		Urine	per_sample	mgen-10-01295-s002.xlsx:SAMD00397269
PRJDB12116	SAMD00397270	isolation_source		Urinary catheter	per_sample	mgen-10-01295-s002.xlsx:SAMD00397270
PRJDB12116	SAMD00397271	isolation_source		Urinary catheter	per_sample	mgen-10-01295-s002.xlsx:SAMD00397271
PRJDB12116	SAMD00397272	isolation_source		Midstream urine	per_sample	mgen-10-01295-s002.xlsx:SAMD00397272
PRJDB12116	SAMD00397273	isolation_source		Urinary catheter	per_sample	mgen-10-01295-s002.xlsx:SAMD00397273
PRJDB12116	SAMD00397274	isolation_source		Midstream urine	per_sample	mgen-10-01295-s002.xlsx:SAMD00397274
PRJDB12116	SAMD00397275	isolation_source		Sputum	per_sample	mgen-10-01295-s002.xlsx:SAMD00397275
PRJDB12116	SAMD00397276	isolation_source		Nasopharyngeal swab	per_sample	mgen-10-01295-s002.xlsx:SAMD00397276
PRJDB12116	SAMD00397277	isolation_source		Nasopharyngeal swab	per_sample	mgen-10-01295-s002.xlsx:SAMD00397277
PRJDB12116	SAMD00397278	isolation_source		Sputum	per_sample	mgen-10-01295-s002.xlsx:SAMD00397278
PRJDB12116	SAMD00397279	isolation_source		Urinary catheter	per_sample	mgen-10-01295-s002.xlsx:SAMD00397279
PRJDB12116	SAMD00397279	isolation_source		Urinary catheter	per_sample	mgen-10-01295-s002.xlsx:SAMD00397279
PRJDB12116	SAMD00397280	isolation_source		Midstream urine	per_sample	mgen-10-01295-s002.xlsx:SAMD00397280
PRJDB12116	SAMD00397209	isolation_source		Sputum	per_sample	mgen-10-01295-s002.xlsx:SAMD00397209
PRJDB12116	SAMD00397210	isolation_source		Sputum	per_sample	mgen-10-01295-s002.xlsx:SAMD00397210
PRJDB12116	SAMD00397211	isolation_source		Sputum	per_sample	mgen-10-01295-s002.xlsx:SAMD00397211
PRJDB12116	SAMD00397212	isolation_source		Sputum	per_sample	mgen-10-01295-s002.xlsx:SAMD00397212
PRJDB12116	SAMD00397213	isolation_source		Sputum	per_sample	mgen-10-01295-s002.xlsx:SAMD00397213
PRJDB12116	SAMD00397214	isolation_source		Urine	per_sample	mgen-10-01295-s002.xlsx:SAMD00397214
PRJDB12116	SAMD00397215	isolation_source		Sputum	per_sample	mgen-10-01295-s002.xlsx:SAMD00397215
PRJDB12116	SAMD00397216	isolation_source		Sputum	per_sample	mgen-10-01295-s002.xlsx:SAMD00397216
PRJDB12116	SAMD00397217	isolation_source		Bronchoalveolar lavage	per_sample	mgen-10-01295-s002.xlsx:SAMD00397217
PRJDB12116	SAMD00397218	isolation_source		Sputum	per_sample	mgen-10-01295-s002.xlsx:SAMD00397218
PRJDB12116	SAMD00397219	isolation_source		Midstream urine	per_sample	mgen-10-01295-s002.xlsx:SAMD00397219
PRJDB12116	SAMD00397220	isolation_source		Urinary catheter	per_sample	mgen-10-01295-s002.xlsx:SAMD00397220
PRJDB12116	SAMD00397221	isolation_source		Sputum	per_sample	mgen-10-01295-s002.xlsx:SAMD00397221
PRJDB12116	SAMD00397222	isolation_source		Blood	per_sample	mgen-10-01295-s002.xlsx:SAMD00397222
PRJDB12116	SAMD00397223	isolation_source		Pus	per_sample	mgen-10-01295-s002.xlsx:SAMD00397223
PRJDB12116	SAMD00397224	isolation_source		Urinary catheter	per_sample	mgen-10-01295-s002.xlsx:SAMD00397224
PRJDB12116	SAMD00397225	isolation_source		Skin	per_sample	mgen-10-01295-s002.xlsx:SAMD00397225
PRJDB12116	SAMD00397226	isolation_source		Sputum	per_sample	mgen-10-01295-s002.xlsx:SAMD00397226
PRJDB12116	SAMD00397227	isolation_source		Pus	per_sample	mgen-10-01295-s002.xlsx:SAMD00397227
PRJDB12116	SAMD00397228	isolation_source		Sputum	per_sample	mgen-10-01295-s002.xlsx:SAMD00397228
PRJDB12116	SAMD00397229	isolation_source		Nasopharyngeal swab	per_sample	mgen-10-01295-s002.xlsx:SAMD00397229
PRJDB12116	SAMD00397230	isolation_source		Sputum	per_sample	mgen-10-01295-s002.xlsx:SAMD00397230
PRJDB12116	SAMD00397231	isolation_source		Sputum	per_sample	mgen-10-01295-s002.xlsx:SAMD00397231
PRJDB12116	SAMD00397232	isolation_source		Sputum	per_sample	mgen-10-01295-s002.xlsx:SAMD00397232
PRJDB12116	SAMD00397233	isolation_source		Sputum	per_sample	mgen-10-01295-s002.xlsx:SAMD00397233
PRJDB12116	SAMD00397234	isolation_source		Sputum	per_sample	mgen-10-01295-s002.xlsx:SAMD00397234
PRJDB12116	SAMD00397235	isolation_source		Sputum	per_sample	mgen-10-01295-s002.xlsx:SAMD00397235
PRJDB12116	SAMD00397236	isolation_source		Midstream urine	per_sample	mgen-10-01295-s002.xlsx:SAMD00397236
PRJDB12116	SAMD00397237	isolation_source		Sputum	per_sample	mgen-10-01295-s002.xlsx:SAMD00397237
PRJDB12116	SAMD00397238	isolation_source		Sputum	per_sample	mgen-10-01295-s002.xlsx:SAMD00397238
PRJDB12116	SAMD00397239	isolation_source		Bile	per_sample	mgen-10-01295-s002.xlsx:SAMD00397239
PRJDB12116	SAMD00397240	isolation_source		Sputum	per_sample	mgen-10-01295-s002.xlsx:SAMD00397240
PRJDB12116	SAMD00397301	isolation_source		Midstream urine	per_sample	mgen-10-01295-s002.xlsx:SAMD00397301
PRJDB12116	SAMD00397302	isolation_source		Sputum	per_sample	mgen-10-01295-s002.xlsx:SAMD00397302
PRJDB12116	SAMD00397303	isolation_source		suction sputum	per_sample	mgen-10-01295-s002.xlsx:SAMD00397303
PRJDB12116	SAMD00397304	isolation_source		Midstream urine	per_sample	mgen-10-01295-s002.xlsx:SAMD00397304
PRJEB21605	SAMEA104208295	country		Hong Kong	per_sample	PRJEB21605.csv:ERS1867313
PRJEB21605	SAMEA104208296	country		Hong Kong	per_sample	PRJEB21605.csv:ERS1867314
PRJEB21605	SAMEA104208297	country		Hong Kong	per_sample	PRJEB21605.csv:ERS1867315
PRJEB21605	SAMEA104208298	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867316
PRJEB21605	SAMEA104208299	country		Hong Kong	per_sample	PRJEB21605.csv:ERS1867317
PRJEB21605	SAMEA104208300	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867318
PRJEB21605	SAMEA104208301	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867319
PRJEB21605	SAMEA104208302	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867320
PRJEB21605	SAMEA104208303	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867321
PRJEB21605	SAMEA104208304	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867322
PRJEB21605	SAMEA104208305	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867323
PRJEB21605	SAMEA104208306	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867324
PRJEB21605	SAMEA104208307	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867325
PRJEB21605	SAMEA104208308	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867326
PRJEB21605	SAMEA104208309	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867327
PRJEB21605	SAMEA104208310	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867328
PRJEB21605	SAMEA104208311	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867329
PRJEB21605	SAMEA104208312	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867330
PRJEB21605	SAMEA104208313	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867331
PRJEB21605	SAMEA104208314	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867332
PRJEB21605	SAMEA104208315	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867333
PRJEB21605	SAMEA104208316	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867334
PRJEB21605	SAMEA104208317	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867335
PRJEB21605	SAMEA104208318	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867336
PRJEB21605	SAMEA104208319	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867337
PRJEB21605	SAMEA104208320	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867338
PRJEB21605	SAMEA104208321	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867339
PRJEB21605	SAMEA104208322	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867340
PRJEB21605	SAMEA104208323	country		Cambodia	per_sample	PRJEB21605.csv:ERS1867341
