id,species,species__colour,species_abbv,species_abbv__colour,species_gp__autocolour,S_SC_STc__autocolour,SC__autocolour,ST__autocolour,plate_type__autocolour,group_summary__autocolour,group_summary_l2__autocolour,virulence_score__autocolour,resistance_score__autocolour,num_resistance_classes__autocolour,num_resistance_genes__autocolour,Yersiniabactin__autocolour,YbST__autocolour,Colibactin__autocolour,CbST__autocolour,Aerobactin__autocolour,AbST__autocolour,Salmochelin__autocolour,SmST__autocolour,rmpA__autocolour,rmpA2__autocolour,wzi__autocolour,K_locus__autocolour,K_locus_problems__autocolour,K_locus_confidence__autocolour,K_locus_identity__autocolour,K_locus_missing_genes__autocolour,O_locus__autocolour,O_locus_problems__autocolour,O_locus_confidence__autocolour,O_locus_identity__autocolour,O_locus_missing_genes__autocolour,Chr_ST__autocolour,iucA__autocolour,iucB__autocolour,iucC__autocolour,iucD__autocolour,iutA__autocolour,iroB__autocolour,iroC__autocolour,iroD__autocolour,iroN__autocolour,AGly__autocolour,Col__autocolour,Fcyn__autocolour,Flq__autocolour,Gly__autocolour,MLS__autocolour,Ntmdz__autocolour,Phe__autocolour,Rif__autocolour,Sul__autocolour,Tet__autocolour,Tgc__autocolour,Tmt__autocolour,Omp__autocolour,Bla__autocolour,Bla_Carb__autocolour,Bla_ESBL__autocolour,Bla_ESBL_inhR__autocolour,Bla_broad__autocolour,Bla_broad_inhR__autocolour,Amikacin_int__autocolour,Amoxicillin_clavulanic_acid_int__autocolour,Ampicillin_int__autocolour,Aztreonam_int__autocolour,Cefalexin_int__autocolour,Cefepime_int__autocolour,Cefixime_int__autocolour,Cefotaxime_int__autocolour,Cefoxitin_int__autocolour,Ceftazidime_int__autocolour,Ceftriaxone_int__autocolour,Cefuroxime_int__autocolour,Ciprofloxacin_int__autocolour,Colistin_int__autocolour,Ertapenem_int__autocolour,Fosfomycin_G6P_int__autocolour,Gentamicin_int__autocolour,Imipenem_int__autocolour,Levofloxacin_int__autocolour,Mecillinam_int__autocolour,Meropenem_int__autocolour,Nalidixic_acid_int__autocolour,Nitrofurantoin_int__autocolour,Norfloxacin_int__autocolour,Piperacillin_int__autocolour,Piperacillin_tazobactam_int__autocolour,Temocillin_int__autocolour,Ticarcillin_clavulanic_acid_int__autocolour,Tigecycline_int__autocolour,Tobramycin_int__autocolour,Trimethoprim_int__autocolour,Trimethoprim_sulfamethoxazole_int__autocolour,SAMPLE_DATE__autocolour,year,month,day,GROUP__autocolour,ENVIRONMENTAL_GROUP__autocolour,place_sampling__autocolour,ORIGIN__autocolour,specific_group__autocolour,ASSOCIATED_GROUP__autocolour,ASSOCIATED_SPECIES__autocolour,GENERAL_ISOLATION_SOURCE__autocolour,TYPE__autocolour,IN_OUT__autocolour,SAMPLE_TYPE__autocolour,SAMPLE_DESCRIPTION__autocolour
SPARK_1000_C1,Klebsiella pneumoniae,#2685FC,K.pne,#2685FC,K.pne SPEC,K.pne_SC15_ST101,SC15,ST101,diagnostic,human - hospital disease,human,1,0,1,0,ybt 9; ICEKp3,183-2LV,-,0,-,0,-,0,-,-,wzi137,KL17,none,Very high,99.96%,NA,O1v1,none,Very high,98.00%,NA,ST101,-,-,-,-,-,-,-,-,-,-,-,-,GyrA-83Y;GyrA-87N;ParC-80I,-,-,-,-,-,-,-,-,-,OmpK35-17%,SHV-28*,-,-,-,-,-,S,S,ND,ND,ND,S,ND,S,ND,S,ND,ND,R,S,S,R,S,S,R,ND,ND,ND,ND,ND,ND,S,ND,ND,ND,S,ND,S,2018-01-02,2018,01,02,HUMAN,NA,NA,hospital,hospital_4,mammal,human,human,human hospital,inpatient,urine,NA
SPARK_1001_C1,Klebsiella pneumoniae,#2685FC,K.pne,#2685FC,K.pne SPEC,K.pne_SC4_ST45,SC4,ST45,diagnostic,human - hospital disease,human,0,1,8,11,-,0,-,0,-,0,-,0,-,-,-,KL24,?-,None,98.80%,"KL24_04_wza,KL24_06_wzc,KL24_07_wcuD,KL24_08_wcuC,KL24_09_wcuV,KL24_10_wbaZ",O2v1,none,Very high,98.76%,NA,ST45,-,-,-,-,-,-,-,-,-,Aac3-IIa^;StrA^;StrB,-,-,QnrB1?,-,-,-,CatB4,-,SulII,TetA,-,DfrA14,-,OXA-1;TEM-1D^,-,CTX-M-15,-,SHV-1?,-,S,S,ND,ND,ND,R,ND,R,ND,R,ND,ND,R,S,S,S,R,S,R,ND,ND,ND,ND,ND,ND,I,ND,ND,ND,R,ND,R,2018-01-02,2018,01,02,HUMAN,NA,NA,hospital,hospital_2,mammal,human,human,human hospital,inpatient,urine,NA
SPARK_1002_C1,Klebsiella pneumoniae,#2685FC,K.pne,#2685FC,K.pne SPEC,K.pne_SC18_ST219,SC18,ST219,diagnostic,human - hospital disease,human,1,1,9,17,ybt unknown,0,-,0,-,0,-,0,-,-,wzi177,KL114,none,Very high,99.78%,NA,O1v1,none,Very high,98.55%,NA,ST219,-,-,-,-,-,-,-,-,-,Aac3-IIa^;AadA2^;Aph3-Ia^;StrA*;StrB*,-,-,Qnr-S1;QnrB1?,-,MphA,-,CatB4,-,SulI;SulII,TetA,-,DfrA12;DfrA14,-,OXA-1;TEM-1D^,-,CTX-M-15,-,-,SHV-26*,S,R,ND,ND,ND,R,ND,R,ND,R,ND,ND,R,R,S,S,R,S,R,ND,S,ND,ND,ND,ND,I,ND,ND,S,R,ND,R,2018-01-02,2018,01,02,HUMAN,NA,NA,hospital,hospital_2,mammal,human,human,human hospital,inpatient,bronchial,NA
SPARK_1003_C1,Klebsiella pneumoniae,#2685FC,K.pne,#2685FC,K.pne SPEC,K.pne_SC1_ST307,SC1,ST307,diagnostic,human - hospital carriage,human,1,2,7,12,ybt 9; ICEKp3,157-1LV,-,0,-,0,-,0,-,-,wzi173,KL102,none,Very high,99.27%,NA,O2v2,none,Very high,98.45%,NA,ST307,-,-,-,-,-,-,-,-,-,Aac3-IIa^;StrA^;StrB,-,-,GyrA-83I;ParC-80I;QnrB1?,-,-,-,CatB4,-,SulII,-,-,DfrA14,-,OXA-1;OXA-9*;SHV-28^;TEM-1D^,KPC-2,CTX-M-15,-,-,-,S,R,R,ND,ND,R,ND,R,ND,R,ND,R,R,S,R,R,R,I,R,ND,R,ND,ND,ND,R,R,ND,ND,I,R,ND,R,2018-01-05,2018,01,05,HUMAN,NA,NA,hospital,hospital_1,mammal,human,human,human hospital,inpatient,rectal_swab,NA
SPARK_1004_C1,Klebsiella pneumoniae,#2685FC,K.pne,#2685FC,K.pne SPEC,K.pne_SC3_ST512,SC3,ST512,diagnostic,human - hospital disease,human,0,2,8,10,-,0,-,0,-,0,-,0,-,-,wzi154,KL107,none,Very high,99.99%,NA,O2v2,none,Very high,98.36%,NA,ST512,-,-,-,-,-,-,-,-,-,Aac6-Ib;AadA2^;Aph3-Ia^,-,-,GyrA-83I;ParC-80I,-,MphA,-,CatA1^,-,SulI,-,-,DfrA12,OmpK35-25%;OmpK36GD,OXA-9*;TEM-1D^,KPC-3,-,-,SHV-11,-,R,R,ND,ND,ND,R,ND,R,ND,R,ND,R,R,S,R,S,I,R,R,ND,R,ND,ND,ND,R,R,ND,ND,I,R,ND,R,2018-01-05,2018,01,05,HUMAN,NA,NA,hospital,hospital_1,mammal,human,human,human hospital,inpatient,blood,NA
SPARK_1005_C1,Klebsiella oxytoca,#40DE05,K.oxy,#40DE05,K.oxy SPEC,K.oxy_SC9_NA,SC9,NA,diagnostic,human - hospital disease,human,0,0,0,1,-,0,-,0,-,0,-,0,-,-,-,KL107,?-+*,None,75.99%,"KL107_02_cpsACP,KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10",OL104,+,None,98.88%,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OXY2-7*,-,-,-,-,-,S,S,R,ND,ND,S,ND,S,ND,S,ND,S,S,S,S,S,S,S,S,ND,S,ND,ND,ND,S,S,ND,ND,S,S,ND,S,2018-01-08,2018,01,08,HUMAN,NA,NA,hospital,hospital_1,mammal,human,human,human hospital,inpatient,bronchoalveolar_wash,NA
SPARK_1006_C1,Klebsiella pneumoniae,#2685FC,K.pne,#2685FC,K.pne SPEC,K.pne_SC1_ST307,SC1,ST307,diagnostic,human - hospital carriage,human,1,2,2,3,ybt 9; ICEKp3,157-1LV,-,0,-,0,-,0,-,-,wzi173,KL102,?,Good,99.27%,NA,O2v2,none,Very high,98.45%,NA,ST307,-,-,-,-,-,-,-,-,-,-,-,-,GyrA-83I;ParC-80I,-,-,-,-,-,-,-,-,-,OmpK35-70%,OXA-9*;SHV-28^;TEM-1D^,KPC-3,-,-,-,-,S,R,R,ND,ND,R,ND,R,ND,R,ND,R,R,S,R,S,S,R,R,ND,R,ND,ND,ND,R,R,ND,ND,S,S,ND,S,2018-01-08,2018,01,08,HUMAN,NA,NA,hospital,hospital_1,mammal,human,human,human hospital,inpatient,rectal_swab,NA
SPARK_1007_C1,Klebsiella pneumoniae,#2685FC,K.pne,#2685FC,K.pne SPEC,K.pne_SC3_ST512,SC3,ST512,diagnostic,human - hospital disease,human,0,2,7,8,-,0,-,0,-,0,-,0,-,-,wzi154,KL107,none,Very high,100.00%,NA,O2v2,none,Very high,98.37%,NA,ST512,-,-,-,-,-,-,-,-,-,Aac6-Ib;AadA2,-,-,GyrA-83I;ParC-80I,-,MphA,-,-,-,SulI,-,-,DfrA12,OmpK35-25%;OmpK36GD,OXA-9*;TEM-1D^,KPC-3,-,-,SHV-11,-,R,R,R,ND,ND,R,ND,R,ND,R,ND,R,R,R,R,S,S,R,R,ND,R,ND,ND,ND,R,R,ND,ND,I,R,ND,R,2018-01-03,2018,01,03,HUMAN,NA,NA,hospital,hospital_1,mammal,human,human,human hospital,inpatient,bronchoalveolar_wash,NA
SPARK_1008_C1,Klebsiella michiganensis,#F4D503,K.mic,#F4D503,K.oxy SPEC,K.mic_SC50_NA,SC50,NA,SCAI,human - hospital carriage,human,0,0,1,2,-,0,-,0,-,0,-,0,-,-,-,KL107,-+*,None,75.98%,"KL107_02_cpsACP,KL107_05_wzb,KL107_06_wzc,KL107_07_wbaP,KL107_08,KL107_09,KL107_10",O2v1,-+*,Good,72.42%,"O1/O2v1_03_wbbM,O1/O2v1_05_wbbN,O1/O2v1_07_kfoC",NA,-,-,-,-,-,-,-,-,-,Aph3''Ia*?,-,-,-,-,-,-,-,-,-,-,-,-,-,OXY1-1*,-,-,-,-,-,S,S,R,S,S,S,S,ND,ND,S,S,S,S,S,S,S,S,S,S,ND,S,ND,S,S,S,S,ND,S,S,S,S,S,2017-12-29,2017,12,29,HUMAN,NA,NA,hospital,hospital_4,mammal,human,human,human hospital,inpatient,feces,NA
SPARK_1009_C1,Klebsiella pneumoniae,#2685FC,K.pne,#2685FC,K.pne SPEC,K.pne_SC165_ST152,SC165,ST152,SCAI,human - hospital carriage,human,1,1,6,10,ybt 10; ICEKp4,91-2LV,-,0,-,0,-,0,-,-,wzi110,KL149,none,Very high,99.98%,NA,O4,none,Very high,99.72%,NA,ST152,-,-,-,-,-,-,-,-,-,Aac3-IIa^;StrA^;StrB,-,-,QnrB1,-,-,-,CatB4,-,SulII,-,-,DfrA14,-,OXA-1;SHV-187*;TEM-1D^,-,CTX-M-15,-,-,-,S,R,R,R,R,R,R,ND,ND,R,R,R,R,S,S,S,R,S,R,R,S,ND,S,R,R,R,ND,R,I,R,R,R,2018-01-02,2018,01,02,HUMAN,NA,NA,hospital,hospital_4,mammal,human,human,human hospital,inpatient,feces,NA
