ncbi_accession	paired_gcf_accession	ncbi_assembly_level	ncbi_assembly_status	ncbi_sequencing_tech	ncbi_assembly_method	ncbi_refseq_category	ncbi_genome_notes	ncbi_genome_size	ncbi_n_scaffolds	ncbi_scaffold_n50	ncbi_scaffold_l50	ncbi_n_contigs	ncbi_contig_n50	ncbi_contig_l50	ncbi_genome_coverage	ncbi_gc_percent	ncbi_n_chromosomes	ncbi_completeness	ncbi_contamination	ncbi_taxonomy_check	ncbi_ani_match_status	lookup_accession
GCF_000240185.1	GCA_000240185.2	Complete Genome	current			reference genome		5682322	7	5333942	1	7	5333942	1		57.0	7	97.27	0.79	OK	derived_species_match	GCF_000240185
GCF_000828055.2	GCA_000828055.2	Complete Genome	current	PacBio	HGAP in smrtanalysis v. 2.1.1			5521203	1	5521203	1	1	5521203	1	185.0	57.5	1	99.32	0.4	OK	derived_species_match	GCF_000828055
GCF_001902475.1	GCA_001902475.1	Complete Genome	current	Illumina Miseq and PacBio RS Sequencing	SOAPdenovo v. v2.04			5699058	2	5536506	1	2	5536506	1	180.0	57.5	2	98.66	0.67	OK	derived_species_match	GCF_001902475
GCF_001902435.1	GCA_001902435.1	Complete Genome	current	PacBio	SMRT Analysis Software v. 2.3.0			5655658	3	5497872	1	3	5497872	1	140.0	57.0	3	98.42	0.67	OK	derived_species_match	GCF_001902435
GCF_001902515.1	GCA_001902515.1	Complete Genome	current	PacBio	SMRT Analysis Software v. 2.3.0			5658942	4	5497083	1	4	5497083	1	123.0	57.0	4	98.42	0.67	OK	derived_species_match	GCF_001902515
GCF_001902235.1	GCA_001902235.1	Complete Genome	current	PacBio RS II; Illumina MiSeq	PacBio SMRT Portal v. Nov-2016; Pilon			5811538	5	5490693	1	5	5490693	1		57.0	5	97.9	0.21	OK	derived_species_match	GCF_001902235
GCF_001644765.1	GCA_001644765.1	Complete Genome	current	PacBio	HGAP3 v. April 2016			6088457	6	5490611	1	6	5490611	1		56.5	6	97.85	1.64	OK	derived_species_match	GCF_001644765
GCF_001702045.2	GCA_001702045.2	Complete Genome	current	Illumina MiSeq/ ONT MinION	Unicycler v. 0.3.1			5992634	6	5466424	1	6	5466424	1	67.0	57.0	6	98.84	0.45	OK	derived_species_match	GCF_001702045
GCF_001887985.4	GCA_001887985.4	Complete Genome	current	Illumina HiSeq; MinION	Unicycler v. 0.4.3			5632871	4	5461116	1	4	5461116	1	200.0	57.5	4	98.81	0.21	OK	derived_species_match	GCF_001887985
GCF_001902195.1	GCA_001902195.1	Complete Genome	current	PacBio RS II; Illumina MiSeq	PacBio SMRT Portal v. Nov-2016; Pilon			5778465	5	5454003	1	5	5454003	1		57.0	5	96.85	0.21	OK	derived_species_match	GCF_001902195
