Accession,Sample_id,Country,Year,Species,ST,virulence_score,resistance_score,num_resistance_classes,num_resistance_genes,Yersiniabactin,ybt_context,Colibactin,Aerobactin,iuc,Salmochelin,iro,rmpA,rmpA2,peg-344_id,peg-344-cov,peg-344,AGly,Col,Fcyn,Flq,Gly,MLS,Ntmdz,Phe,Rif,Sul,Tet,Tmt,Bla,Bla_Carb,Bla_ESBL,Bla_broad,Bla_broad_inhR,Kaptive_best_match_Klocus,Kaptive_Klocus_match_confidence,wzi,wzi_predicted_Klocus,final_KLocus_call,Kaptive_best_match_Olocus,Kaptive_Olocus_match_confidence,Final_OLocus_call,Predicted_O_type,100_SNV_cluster,multi_country_100_SNV_cluster,25_SNV_cluster,isolation_source
ERS1867313,V28,Hong Kong,2016,Klebsiella pneumoniae,ST14,0,0,3,4,0,na,0,0,none,none,0,-,-,-,-,0,StrB;StrA,-,-,QnrB4,-,-,-,-,-,SulI,-,-,AmpH*;SHV-28;DHA-1,-,-,-,-,KL2,Very high,2,na,KL2,O1v1,Very high,O1v1,O1,7,yes,singleton,blood
ERS1867314,V27,Hong Kong,2016,Klebsiella pneumoniae,ST13-4LV,1,0,1,1,1, ICEKp6,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*,-,-,SHV-1*?,-,KL117,Very high,356,na,KL117,O2v2,Very high,O2v2,O2,not_tested,na,not_tested,blood
ERS1867315,V30,Hong Kong,2016,Klebsiella pneumoniae,ST791,0,0,10,13,0,na,0,0,none,none,0,-,-,-,-,0,StrB;StrA*;AadA16*,-,-,QnrB17*,-,MphA,-,FloR,Arr3,SulII;SulI,TetA?,DfrA27,AmpH*,-,-,SHV-1*?,TEM-54*,KL62,Very high,322,na,KL62,O1v1,Very high,O1v1,O1,not_tested,na,not_tested,blood
ERS1867316,COMRU-KPN-BC-2014-1,Cambodia,2014,Klebsiella pneumoniae,ST22,0,1,7,11,0,na,0,0,none,none,0,-,-,-,-,0,StrB;StrA*;Aac3-IId*,-,-,Qnr-S1,-,-,-,CatA2*,-,SulI;SulII,TetA,DfrA1,SHV-132;AmpH*;LAP-2,-,CTX-M-14,-,TEM-30*,KL10,Very high,274*,na,KL10,O3b,Very high,O3b,O3b,not_tested,na,not_tested,blood
ERS1867317,V29,Hong Kong,2016,Klebsiella pneumoniae,ST17,0,0,1,0,0,na,0,0,none,none,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,AmpH*,-,-,SHV-11,-,KL23,Very high,82,na,KL23,O2v2,Very high,O2v2,O2,singleton,no,singleton,blood
ERS1867318,COMRU-KPN-BC-2014-2,Cambodia,2014,Klebsiella pneumoniae,ST14,0,0,8,14,0,na,0,0,none,none,0,-,-,-,-,0,AadA1-pm*?;AadA2;StrB;StrA;Aac3-IId*,-,-,Qnr-S1,-,MphA,-,CmlA1*;FloR*,-,SulII;SulIII,TetD,DfrA12,AmpH*;SHV-28,-,-,-,TEM-30*,KL2,Very high,2,na,KL2,O1v1,Very high,O1v1,O1,singleton,no,singleton,blood
ERS1867319,COMRU-KPN-BC-2014-3,Cambodia,2014,Klebsiella pneumoniae,ST15,0,1,8,17,0,na,0,0,none,none,0,-,-,-,-,0,AadA16*;StrB;StrA*;Aac3-IId*;Aph3-Ia*,-,-,QnrB4;GyrA-83Y;GyrA-87A;ParC-80I,-,MphA,-,-,Arr3,SulII*;SulI,TetA,DfrA27,AmpH*;SHV-28;DHA-1,-,CTX-M-15,TEM-135*,-,KL62,Very high,323,na,KL62,O1v1,Very high,O1v1,O1,singleton,no,singleton,blood
ERS1867320,COMRU-KPN-BC-2014-4,Cambodia,2014,Klebsiella pneumoniae,ST1104,0,0,6,7,0,na,0,0,none,none,0,-,-,-,-,0,StrB*;StrA*,-,-,-,-,MphA,-,-,-,SulII,TetA,DfrA14,SHV-187;AmpH*,-,-,-,TEM-30*,KL54,Very high,115,na,KL54,O1v2,Very high,O1v2,O1,not_tested,na,not_tested,blood
ERS1867321,COMRU-KPN-BC-2014-5,Cambodia,2014,Klebsiella pneumoniae,ST20,0,1,8,5,0,na,0,0,none,none,0,-,-,-,-,0,-,-,-,Qnr-S1,-,-,-,-,-,SulII,TetA,DfrA14,SHV-187;AmpH*;LAP-2,-,CTX-M-27,-,-,KL28,Very high,84,na,KL28,O1v2,Very high,O1v2,O1,singleton,no,singleton,blood
ERS1867322,COMRU-KPN-BC-2014-6,Cambodia,2014,Klebsiella pneumoniae,ST685,0,0,6,9,0,na,0,0,none,none,0,-,-,-,-,0,-,-,-,QnrB4;GyrA-83I;ParC-80I,-,MphA,-,CatB3*,Arr3,SulI;SulI,TetD,-,AmpH*;SHV-103;DHA-1;OXA-1,-,-,-,-,KL13,Good,243,na,KL13,O3b,Good,O3b,O3b,not_tested,na,not_tested,blood
