sr_sample_accession,sr_run_accession,refseq_sample,refseq_gcf_accession,duplicate_removed,in_bakrep_sheet,in_assembly_scan,bakrep_FINAL,bakrep_instrument_platform,bakrep_gtdbtk_species,bakrep_checkm2_completeness,bakrep_checkm2_contamination,bakrep_study_accession,kleborate_species,kleborate_species_match,kleborate_contig_count,kleborate_N50
SAMD00212274,DRR217705,GCF_021655415.1_ASM2165541v1_genomic,GCF_021655415.1,False,True,True,False,OXFORD_NANOPORE || ILLUMINA,Klebsiella pneumoniae,100.0,1.15,PRJDB9461,Klebsiella pneumoniae,strong,80,314578
SAMN29257229,SRR19790010,GCF_024167825.1_ASM2416782v1_genomic,GCF_024167825.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.05,PRJNA851948,Klebsiella pneumoniae,strong,143,357381
SAMN15061189,SRR11885011,GCF_013366565.2_ASM1336656v2_genomic,GCF_013366565.2,False,True,True,False,ILLUMINA,Klebsiella quasipneumoniae,100.0,0.07,PRJNA636185,Klebsiella quasipneumoniae subsp. similipneumoniae,strong,47,1270387
SAMN16387625,SRR12811553,GCF_028554845.1_ASM2855484v1_genomic,GCF_028554845.1,False,True,True,False,PACBIO_SMRT || ILLUMINA,Klebsiella pneumoniae,100.0,0.86,PRJNA667445,Klebsiella pneumoniae,strong,280,204315
SAMN21218859,SRR16251421,GCF_020099175.1_ASM2009917v1_genomic,GCF_020099175.1,False,True,True,False,ILLUMINA || PACBIO_SMRT,Klebsiella quasipneumoniae,100.0,0.03,PRJNA231221,Klebsiella quasipneumoniae subsp. quasipneumoniae,strong,78,250726
SAMN14752225,SRR11637854,GCF_016804025.1_ASM1680402v1_genomic,GCF_016804025.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.35,PRJNA628847,Klebsiella pneumoniae,strong,192,193077
SAMN15061188,SRR11884995,GCF_013366635.2_ASM1336663v2_genomic,GCF_013366635.2,False,True,True,False,ILLUMINA,Klebsiella quasipneumoniae,100.0,0.07,PRJNA636185,Klebsiella quasipneumoniae subsp. similipneumoniae,strong,47,1270387
SAMN28535410,SRR19328963,GCF_023573605.1_ASM2357360v1_genomic,GCF_023573605.1,False,True,True,False,ILLUMINA || OXFORD_NANOPORE,Klebsiella quasipneumoniae,100.0,0.09,PRJNA839526,Klebsiella quasipneumoniae subsp. similipneumoniae,strong,55,2932490
SAMN15061190,SRR11885010,GCF_013366585.2_ASM1336658v2_genomic,GCF_013366585.2,False,True,True,False,ILLUMINA,Klebsiella quasipneumoniae,100.0,0.07,PRJNA636185,Klebsiella quasipneumoniae subsp. similipneumoniae,strong,49,1270387
SAMN25039389,SRR17640810,GCF_022605205.1_ASM2260520v1_genomic,GCF_022605205.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,1.45,PRJNA797874,Klebsiella pneumoniae,strong,258,116638
SAMN11056490,SRR9641577,GCF_006364295.1_ASM636429v1_genomic,GCF_006364295.1,False,True,True,False,ILLUMINA || PACBIO_SMRT,Klebsiella pneumoniae,100.0,0.56,PRJNA231221,Klebsiella pneumoniae,strong,102,275483
SAMN21218860,SRR16251422,GCF_020097415.1_ASM2009741v1_genomic,GCF_020097415.1,False,True,True,False,PACBIO_SMRT || ILLUMINA,Klebsiella quasipneumoniae,100.0,0.03,PRJNA231221,Klebsiella quasipneumoniae subsp. similipneumoniae,strong,56,436821
SAMN15061192,SRR11885008,GCF_013366555.2_ASM1336655v2_genomic,GCF_013366555.2,False,True,True,False,ILLUMINA,Klebsiella quasipneumoniae,100.0,0.07,PRJNA636185,Klebsiella quasipneumoniae subsp. similipneumoniae,strong,49,1270387
SAMN16770105,SRR14561347,GCF_022870645.1_ASM2287064v1_genomic,GCF_022870645.1,False,True,True,False,ILLUMINA,Klebsiella pneumoniae,100.0,0.82,PRJNA676183,Klebsiella pneumoniae,strong,118,225972
SAMN16357585,SRR15076258,GCF_019047985.1_ASM1904798v1_genomic,GCF_019047985.1,False,True,True,False,ILLUMINA || PACBIO_SMRT,Klebsiella quasipneumoniae,100.0,0.18,PRJNA231221,Klebsiella quasipneumoniae subsp. similipneumoniae,strong,109,164950
SAMN16357455,SRR13674008,GCF_016903395.1_ASM1690339v1_genomic,GCF_016903395.1,False,True,True,False,ILLUMINA || PACBIO_SMRT,Klebsiella pneumoniae,100.0,1.11,PRJNA231221,Klebsiella pneumoniae,strong,164,198825
SAMN16357457,SRR13674212,GCF_016903475.1_ASM1690347v1_genomic,GCF_016903475.1,False,True,True,False,ILLUMINA || PACBIO_SMRT || PACBIO_SMRT,Klebsiella pneumoniae,100.0,0.71,PRJNA231221,Klebsiella pneumoniae,strong,201,135823
