Strain ID,Species,Specimen,Date collected,Province,"Short-read
sequencer",DDBJ_short_accession,"Long-read
sequencer",DDBJ_long_accession,Sequence type,"Carbapenemase
genotype"
C001,Klebsiella pneumoniae,Ascitic fluid,9/9/2015,Sakon Nakhon,HiSeq,DRX115297,-,-,ST147,NDM-1
C002,Klebsiella pneumoniae,Sputum,9/9/2015,Sakon Nakhon,-,-,PacBio,DRX187456,ST340,OXA-181
C003,Klebsiella pneumoniae,Sputum,2/9/2015,Sakon Nakhon,HiSeq,DRX115299,-,-,ST147,NDM-1
C004,Klebsiella pneumoniae,Sputum,18/9/2015,Sakon Nakhon,HiSeq,DRX115300,-,-,ST147,NDM-1
C005,Klebsiella pneumoniae,Bile,28/9/2015,Sakon Nakhon,-,-,PacBio,DRX187457,ST340,OXA-181
C006,Klebsiella pneumoniae,Sputum,16/10/2015,Sakon Nakhon,-,-,PacBio,DRX187458,ST340,OXA-181
C007,Klebsiella pneumoniae,Urine,16/10/2015,Sakon Nakhon,HiSeq,DRX115303,-,-,ST336,NDM-1
C008,Klebsiella pneumoniae,Sputum,5/10/2015,Sakon Nakhon,HiSeq,DRX115304,-,-,ST340,OXA-181
C009,Klebsiella pneumoniae,Swab from amputated leg,11/10/2015,Sakon Nakhon,HiSeq,DRX187450,-,-,ST336,NDM-1
C010,Klebsiella pneumoniae,Sputum,29/10/2015,Sakon Nakhon,HiSeq,DRX115305,-,-,ST340,OXA-181
C011,Klebsiella pneumoniae,Sputum,29/10/2015,Sakon Nakhon,HiSeq,DRX115306,-,-,ST340,OXA-181
C012,Klebsiella pneumoniae,Sputum,27/10/2015,Sakon Nakhon,HiSeq,DRX115307,-,-,ST340,OXA-181
C013,Klebsiella pneumoniae,Sputum,24/10/2015,Sakon Nakhon,HiSeq,DRX115308,-,-,ST15,NDM-1
C014,Klebsiella pneumoniae,Sputum,21/10/2015,Sakon Nakhon,HiSeq,DRX115309,-,-,ST340,OXA-181
C015,Escherichia coli,Urine,19/10/2015,Sakon Nakhon,HiSeq,DRX115310,-,-,ST410,NDM-5
C016,Escherichia coli,Wound,18/9/2015,Sakon Nakhon,HiSeq,DRX115311,-,-,ST410,NDM-5
C018,Klebsiella pneumoniae,Sputum,22/11/2015,Nakhon Phanom,-,-,PacBio,DRX187459,ST147,NDM-1
C020,Klebsiella pneumoniae,Sputum,9/11/2015,Sakon Nakhon,HiSeq,DRX115314,-,-,ST147,NDM-1
C022,Klebsiella pneumoniae,Ascitic fluid,5/11/2015,Sakon Nakhon,HiSeq,DRX115315,-,-,ST340,OXA-181
