S. No, ID,Source,Location,Reference,Sample Accession,Reads Accession,Collection Year,ST,Baps Level1,Baps Level2,K-Type,ybt-type,Host disease,Isolation source,Source details
1,BI04,Livestock,India,This study,ERS16090807,ERR11759336,2022,ST2356,2,4,K45,-,,Bovine,Bovine intestine
2,BM01,Livestock,India,This study,ERS16090808,ERR11759337,2021,ST4818-1LV,4,11,unknown (K17),-,,Bovine,Bovine Meat
3,BM04,Livestock,India,This study,ERS16090809,ERR11759338,2022,ST2412-1LV,5,15,unknown (KL126),-,,Bovine,Bovine Meat
4,BM07_Kleb,Livestock,India,This study,ERS16090810,ERR11759339,2022,ST29-1LV,2,5,K19,ybt 14,,Bovine,Bovine Meat
5,BM13_Kleb,Livestock,India,This study,ERS16090811,ERR11759340,2022,ST29,2,5,K54,-,,Bovine,Bovine Meat
6,CI09,Livestock,India,This study,ERS16090812,ERR11759341,2021,ST34,2,4,unknown (KL153),-,,Poultry,Chicken Intestine
7,CI10,Livestock,India,This study,ERS16090813,ERR11759342,2021,ST2096,3,8,K64,ybt 14,,Poultry,Chicken Intestine
8,CI11,Livestock,India,This study,ERS16090814,ERR11759343,2021,ST2938,2,4,unknown (K31),-,,Poultry,Chicken Intestine
9,CI13,Livestock,India,This study,ERS16090815,ERR11759344,2021,ST15,3,9,K48,-,,Poultry,Chicken Intestine
10,CI14,Livestock,India,This study,ERS16090816,ERR11759345,2021,ST3113,2,5,unknown (KL146),-,,Poultry,Chicken Intestine
11,CI15,Livestock,India,This study,ERS16090817,,2021,ST1604,2,4,K55,ybt 9,,Poultry,Chicken Intestine
12,CI16,Livestock,India,This study,ERS16090818,ERR11759346,2021,ST22,2,5,K9,-,,Poultry,Chicken Intestine
13,CI23,Livestock,India,This study,ERS16090819,ERR11759347,2021,ST138,4,13,K34,-,,Poultry,Chicken Intestine
14,CI25,Livestock,India,This study,ERS16090820,ERR11759348,2021,ST3345,2,4,K43,-,,Poultry,Chicken Intestine
15,CI25,Livestock,India,This study,ERS16090821,ERR11759349,2021,ST76,2,4,K25,-,,Poultry,Chicken Intestine
16,CI26,Livestock,India,This study,ERS16090822,ERR11759350,2022,ST138,4,13,K34,-,,Poultry,Chicken Intestine
17,CI31,Livestock,India,This study,ERS16090823,ERR11759351,2022,ST2096,3,8,K64,ybt 14,,Poultry,Chicken Intestine
18,CI32,Livestock,India,This study,ERS16090824,ERR11759352,2022,ST340,2,7,K15,-,,Poultry,Chicken Intestine
19,CI35,Livestock,India,This study,ERS16090825,ERR11759353,2022,ST129,2,4,unknown (KL108),-,,Poultry,Chicken Intestine
20,CI40_ESBL_Kleb,Livestock,India,This study,ERS16090826,ERR11759354,2022,ST340,2,7,K15,-,,Poultry,Chicken Intestine
21,CI41_A,Livestock,India,This study,ERS16090827,ERR11759355,2022,ST43,2,5,K61,-,,Poultry,Chicken Intestine
22,CI43_Kleb,Livestock,India,This study,ERS16090828,ERR11759356,2022,ST5370,2,4,K40,-,,Poultry,Chicken Intestine
23,CI56,Livestock,India,This study,ERS16090829,ERR11759357,2022,ST1310,2,4,unknown (KL154),-,,Poultry,Chicken Intestine
