reference,strain,SampleAcc,LaneAcc,SupplierName,StudyAccession,species,species_match,contig_count,N50,largest_contig,total_size,ambiguous_bases,QC_warnings,ST,virulence_score,resistance_score,num_resistance_classes,num_resistance_genes,Yersiniabactin,YbST,Colibactin,CbST,Aerobactin,AbST,Salmochelin,SmST,RmpADC,RmST,rmpA2,wzi,K_locus,AGly_acquired,Col_acquired,Fcyn_acquired,Flq_acquired,Gly_acquired,MLS_acquired,Phe_acquired,Rif_acquired,Sul_acquired,Tet_acquired,Tgc_acquired,Tmt_acquired,Bla_acquired,Bla_inhR_acquired,Bla_ESBL_acquired,Bla_ESBL_inhR_acquired,Bla_Carb_acquired,Bla_chr,SHV_mutations,Omp_mutations,Col_mutations,Flq_mutations,truncated_resistance_hits,spurious_resistance_hits,Chr_ST,gapA,infB,mdh,pgi,phoE,rpoB,tonB,ybtS,ybtX,ybtQ,ybtP,ybtA,irp2,irp1,ybtU,ybtT,ybtE,fyuA,clbA,clbB,clbC,clbD,clbE,clbF,clbG,clbH,clbI,clbL,clbM,clbN,clbO,clbP,clbQ,iucA,iucB,iucC,iucD,iutA,iroB,iroC,iroD,iroN,rmpA,rmpD,rmpC,spurious_virulence_hits,SUPPLIER_SAMPLE_NAME,DATE,Strain,main_ST,neonate,major_wards
Musicha et al,15966_8#21,ERS668986,ERR926371,BKQ79K_2,ERP009326,Klebsiella pneumoniae,strong,52,350097,669893,5379195,yes (9439),ambiguous_bases,ST609-1LV,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,wzi177,KL125 (KL114),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-1^,-,-,-,-,-,-,ST609-1LV,3,6,1,3,1,1,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BKQ79K_2,2013,NA,other,n,unknown
Musicha et al,15966_8#57,ERS669023,ERR926407,4604,ERP009326,Klebsiella pneumoniae,strong,76,294799,598541,5879774,yes (5190),ambiguous_bases,ST14,3,0,6,8,-,0,-,0,iuc 1,1-1LV,-,0,-,0,rmpA2_8-60%,wzi2,KL2 (KL30),aac(3)-IIa.v1;aadA4.v1*;strB.v1,-,-,-,-,-,catA1^,-,sul2*,tet(D)*,-,dfrA21*,TEM-1D.v1^,-,-,-,-,SHV-1^,-,-,-,-,strA.v1*-3%,-,ST14,1,6,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1*,1,1,-,-,-,-,-,-,-,-,4604,1997,NA,ST14,n,unknown
Musicha et al,15966_8#86,ERS669059,ERR926436,BKQ2ZY,ERP009326,Klebsiella pneumoniae,strong,48,390704,900899,5453581,yes (6143),ambiguous_bases,ST37,1,0,5,10,ybt 15; ICEKp11,273-2LV,-,0,-,0,-,0,-,0,-,wzi14,KL14,aadA2^;aadA5;strA.v1^;strB.v1,-,-,-,-,mphA,-,-,sul1;sul2,tet(A).v1*,-,dfrA12;dfrA17,-,-,-,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST37,2,9,2,1,13,1,16,6,15,5,4,1,37,44,32,1,4,26*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BKQ2ZY,2012,NA,ST37,n,PAEDIATRIC MOYO WARD
Musicha et al,15966_8#87,ERS669060,ERR926437,522B,ERP009326,Klebsiella pneumoniae,strong,55,292753,1227660,5766474,yes (3295),ambiguous_bases,ST17,3,0,6,9,-,0,-,0,iuc 1,1-1LV,-,0,-,0,rmpA2_8-60%,wzi360,KL122,aac(3)-IIa.v1;strA.v1^;strB.v1,-,-,-,-,-,catA1^,-,sul1;sul2,tet(D),-,dfrA5,TEM-1D.v1^,-,-,-,-,SHV-1^,-,-,-,-,-,-,ST17,2,1,1,1,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1*,1,1,-,-,-,-,-,-,-,-,522B,1996,NA,ST17,n,unknown
Musicha et al,15966_8#88,ERS669061,ERR926438,B1874,ERP009326,Klebsiella variicola subsp. variicola,strong,37,347270,649376,5490924,yes (3539),ambiguous_bases,ST1139-3LV,0,0,0,0,-,0,-,0,-,0,-,0,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,LEN-9,-,-,-,-,-,-,ST1139-3LV,16,18,30,76,166,29,178,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B1874,1999,NA,other,n,unknown
Musicha et al,15966_8#89,ERS669062,ERR926439,1011136,ERP009326,Klebsiella pneumoniae,strong,51,216739,860832,5317672,yes (2954),ambiguous_bases,ST4073,0,0,3,3,-,0,-,0,-,0,-,0,-,0,-,wzi5,KL5,aadA^,-,-,-,-,-,-,-,sul1,tet(B).v2*,-,-,-,-,-,-,-,SHV-37,35Q,-,-,-,-,-,ST4073,12,6,1,3,8,5,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1011136,2011,NA,other,n,unknown
Musicha et al,15966_8#93,ERS669066,ERR926443,BKQ3KY,ERP009326,Klebsiella pneumoniae,strong,28,369848,1441986,5126380,yes (2825),ambiguous_bases,ST106-1LV,0,1,1,1,-,0,-,0,-,0,-,0,-,0,-,wzi547,KL?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SHV-1* +165R,-,-,-,165R;omega-loop=RRETELNEALPGDARD,-,-,-,-,-,ST106-1LV,4,1,2,1,1,1,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BKQ3KY,2012,NA,other,n,unknown
Musicha et al,16228_1#11,ERS669081,ERR971957,13,ERP009326,Klebsiella quasipneumoniae subsp. similipneumoniae,strong,69,434141,742928,5404431,yes (1062),ambiguous_bases,ST5721,0,0,6,7,-,0,-,0,-,0,-,0,-,0,-,-,-,strA.v1^;strB.v1,-,-,-,-,-,catII.2*,-,sul2,tet(D),-,dfrA14.v2*,TEM-1D.v1^,-,-,-,-,OKP-B-19^,-,-,-,-,-,-,ST5721,18,22,26,59,566,38,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A13,2009,NA,other,n,unknown
Musicha et al,16228_1#13,ERS669084,ERR971959,D25597,ERP009326,Klebsiella pneumoniae,strong,77,315621,526438,5883009,yes (3421),ambiguous_bases,ST14,3,0,6,8,-,0,-,0,iuc 1,1-1LV,-,0,-,0,rmpA2_8-60%,wzi2,KL2 (KL30),aac(3)-IIa.v1;aadA4.v1*;strB.v1,-,-,-,-,-,catA1^,-,sul2*,tet(D)*,-,dfrA21*,TEM-1D.v1^,-,-,-,-,SHV-1^,-,-,-,-,strA.v1*-3%,-,ST14,1,6,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1*,1,1,-,-,-,-,-,-,-,-,D25597,2004,NA,ST14,n,unknown
Musicha et al,16228_1#14,ERS669085,ERR971960,3712,ERP009326,Klebsiella pneumoniae,strong,53,379353,800198,5707917,yes (3741),ambiguous_bases,ST48,3,0,5,7,-,0,-,0,iuc 1,1-1LV,-,0,-,0,rmpA2_8-60%,wzi62,KL62,aac(3)-IIa.v1;strA.v1^;strB.v1,-,-,-,-,-,catA1^,-,sul2^,tet(D),-,-,TEM-1D.v1^,-,-,-,-,SHV-11.v1^,35Q,-,-,-,-,-,ST48,2,5,2,2,7,1,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1*,1,1,-,-,-,-,-,-,-,-,3712,1997,NA,ST48,n,unknown
